Drink,Flavor,Milk,Caffeine,Sweetness,Season,Trending
Iced Matcha Latte,Earthy,Yes,High,Medium,Summer,Yes
Hot Matcha Latte,Earthy,Yes,High,Low,Winter,No
Matcha Lemonade,Citrusy,No,Low,High,Spring,Yes
Strawberry Matcha,Fruity,Yes,Medium,High,All,Yes
Vanilla Matcha Latte,Sweet,Yes,High,High,All,Yes
Matcha Cold Foam Cold Brew,Bitter,No,High,Low,All,No
Caramel Matcha Latte,Sweet,Yes,Medium,High,Fall,Yes
Honey Matcha Green Tea,Sweet,No,Low,Medium,All,No
Coconut Matcha Latte,Tropical,Yes,Medium,Medium,Summer,Yes
Spiced Matcha Chai,Spicy,Yes,Medium,Low,Fall,No
