PostID,Text
1,This is my new favorite Mango Coconut Matcha! #matchalatte #icedmatcha
2,This is my new favorite Matcha Cold Foam! #matcha #icedmatcha
3,Tried Strawberry Matcha Latte! #matcha #icedmatcha
4,Absolutely obsessed with Matcha Lemonade! #icedmatcha #matchalover
5,So refreshing! Iced Vanilla Matcha! #matchalover #matcha
6,Absolutely obsessed with Matcha Latte! #icedmatcha #matcha
7,Delicious and perfect for summer Matcha Latte! #matcha #matchareview
8,Tried Matcha Latte! #icedmatcha #matchalatte
9,Too sweet for me Matcha Lemonade! #matchalatte #matcha
10,Just had Matcha Cold Foam! #icedmatcha #matcha
11,Disappointed with Matcha Latte! #matcha #icedmatcha
12,So refreshing! Mango Coconut Matcha! #matchareview #matchalatte
13,Highly recommend Strawberry Matcha Latte! #matchareview #icedmatcha
14,Absolutely obsessed with Matcha Cold Foam! #matchalover #icedmatcha
15,Got the Mango Coconut Matcha! #matchareview #matchalatte
16,Absolutely obsessed with Mango Coconut Matcha! #matchalover #matchareview
17,This is my new favorite Strawberry Matcha Latte! #matchalover #icedmatcha
18,Absolutely obsessed with Strawberry Matcha Latte! #icedmatcha #matchareview
19,I love Iced Vanilla Matcha! #matchareview #matchalover
20,This is my new favorite Matcha Latte! #matchalatte #matchalover
21,So refreshing! Iced Vanilla Matcha! #icedmatcha #matchareview
22,Delicious and perfect for summer Iced Vanilla Matcha! #matchalatte #matchareview
23,Disappointed with Matcha Cold Foam! #matchalover #matchalatte
24,Delicious and perfect for summer Matcha Cold Foam! #matchareview #icedmatcha
25,This is my new favorite Iced Vanilla Matcha! #matchalatte #matchareview
26,So refreshing! Mango Coconut Matcha! #matcha #matchareview
27,Absolutely obsessed with Mango Coconut Matcha! #matcha #icedmatcha
28,Absolutely obsessed with Matcha Cold Foam! #matcha #matchalover
29,This is my new favorite Matcha Lemonade! #matchalover #matchalatte
30,This is my new favorite Iced Vanilla Matcha! #matcha #icedmatcha
31,I love Strawberry Matcha Latte! #icedmatcha #matchalatte
32,Highly recommend Strawberry Matcha Latte! #matchalatte #matcha
33,Not a fan of Matcha Cold Foam! #matcha #icedmatcha
34,Got the Mango Coconut Matcha! #matchalover #icedmatcha
35,Anyone else tried Honey Lavender Matcha! #matchareview #matchalatte
36,Not a fan of Mango Coconut Matcha! #matchalatte #matcha
37,Wouldn't recommend Strawberry Matcha Latte! #icedmatcha #matchareview
38,Absolutely obsessed with Strawberry Matcha Latte! #icedmatcha #matchalover
39,Disappointed with Matcha Lemonade! #matcha #matchalatte
40,Just had Iced Vanilla Matcha! #matchareview #matchalatte
41,Too sweet for me Strawberry Matcha Latte! #matchareview #icedmatcha
42,Delicious and perfect for summer Matcha Lemonade! #icedmatcha #matchalover
43,This didn’t work for me Matcha Latte! #icedmatcha #matcha
44,Absolutely obsessed with Matcha Lemonade! #matchareview #matchalover
45,I love Honey Lavender Matcha! #matcha #icedmatcha
46,Delicious and perfect for summer Matcha Cold Foam! #matchareview #icedmatcha
47,Too sweet for me Matcha Lemonade! #matcha #icedmatcha
48,Not a fan of Strawberry Matcha Latte! #matcha #matchalover
49,Not a fan of Matcha Lemonade! #icedmatcha #matcha
50,So refreshing! Matcha Lemonade! #icedmatcha #matchareview
51,Just had Iced Vanilla Matcha! #matchalover #matchalatte
52,Just had Honey Lavender Matcha! #matchareview #matcha
53,This is my new favorite Honey Lavender Matcha! #matchalatte #matchareview
54,Highly recommend Matcha Lemonade! #matchalatte #matchareview
55,Highly recommend Iced Vanilla Matcha! #icedmatcha #matchalatte
56,Anyone else tried Strawberry Matcha Latte! #matcha #icedmatcha
57,Highly recommend Strawberry Matcha Latte! #icedmatcha #matchalover
58,Delicious and perfect for summer Matcha Lemonade! #matchareview #icedmatcha
59,Absolutely obsessed with Matcha Latte! #matcha #matchalover
60,This is my new favorite Matcha Lemonade! #matchalover #matchalatte
61,This is my new favorite Matcha Latte! #matcha #matchalatte
62,This is my new favorite Matcha Lemonade! #matchalatte #icedmatcha
63,Got the Matcha Cold Foam! #matchalover #matcha
64,Anyone else tried Honey Lavender Matcha! #icedmatcha #matcha
65,Not a fan of Mango Coconut Matcha! #matchareview #matchalover
66,Disappointed with Strawberry Matcha Latte! #matchareview #icedmatcha
67,This didn’t work for me Matcha Lemonade! #matcha #matchalatte
68,This is my new favorite Mango Coconut Matcha! #matchalover #icedmatcha
69,Highly recommend Matcha Cold Foam! #icedmatcha #matchareview
70,Tried Strawberry Matcha Latte! #matchalover #matcha
71,Delicious and perfect for summer Mango Coconut Matcha! #matchalover #matcha
72,Absolutely obsessed with Matcha Cold Foam! #matchalatte #matchareview
73,Thinking about ordering Matcha Latte! #matcha #matchareview
74,Anyone else tried Matcha Lemonade! #icedmatcha #matchalatte
